🕘️更新时间,#genre#
2025-10-25 18:15:57,https://locallive.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8

自定义频道,#genre#
澳1,https://locallive.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳2,https://locallive.tdm.com.mo/ch1/ch1.live/playlist.m3u8

📺央视频道,#genre#
CCTV-1,http://218.19.109.221:808/hls/1/index.m3u8
CCTV-1,http://218.19.108.170:808/hls/1/index.m3u8
CCTV-2,http://1.31.14.70:54321/hls/4/index.m3u8
CCTV-2,http://218.19.108.170:808/hls/2/index.m3u8
CCTV-2,http://218.19.109.221:808/hls/2/index.m3u8
CCTV-3,http://sh.lnott.top:880/dx03.m3u8
CCTV-3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV-4,http://218.19.108.170:808/hls/3/index.m3u8
CCTV-4,http://218.19.109.221:808/hls/3/index.m3u8
CCTV-7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV-8,http://sh.lnott.top:880/dx08.m3u8
CCTV-9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV-9,http://218.19.109.221:808/hls/5/index.m3u8
CCTV-9,http://218.19.108.170:808/hls/5/index.m3u8
CCTV-10,http://sh.lnott.top:880/dx10.m3u8
CCTV-13,http://1.31.14.70:54321/hls/19/index.m3u8
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140
CETV-4,https://httop.top/hrtn-cetv4
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140

📡卫视频道,#genre#
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://114.252.126.226:8899/hls/16/index.m3u8
湖北卫视,http://218.19.109.221:808/hls/14/index.m3u8
东南卫视,http://106.46.169.202:9000/hls/36/index.m3u8
海南卫视,http://106.46.169.202:9000/hls/40/index.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8
江苏卫视,http://sh.lnott.top:880/dx33.m3u8
宁夏卫视,http://106.46.169.202:9000/hls/35/index.m3u8
山西卫视,http://106.46.169.202:9000/hls/39/index.m3u8
陕西卫视,http://106.46.169.202:9000/hls/23/index.m3u8
云南卫视,http://106.46.169.202:9000/hls/32/index.m3u8

☘️广东频道,#genre#

🌊港·澳·台,#genre#
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40『线路08』
翡翠台,http://8.138.7.223/tv/hot.php?id=68
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&amp;amp;time=20240926215313&amp;amp;ip=111.229.253.40
纬来育乐,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40
Viutv,https://cdn.iptv8k.top/dl/jrys.php?id=78&time=20240926215313&ip=111.229.253.40
三立台湾,https://cdn.iptv8k.top/dl/jrys.php?id=269&time=20240926215313&ip=111.229.253.40
三立新闻,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&amp;time=20240926215313&amp;ip=111.229.253.40
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40#rtmp://f13h.mine.nu/sat/tv331#rtmp://f13h.mine.nu/sat/tv331
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
靖天资讯,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40
